model,rcp,mgm,windcase,dist,refdif,diff,percdiff
MPI_CCLM,rcp85,BAU,w7,0.391659547786831,0.339170509548712,0.0524890382381188,15.4757081645922
MPI_CCLM,rcp85,BAU,w8,0.373647388082934,0.328691295490995,0.0449560925919393,13.6772994017941
MPI_CCLM,rcp85,BAU,w9,0.404538434970455,0.346013322393335,0.05852511257712,16.9141211593555
MPI_CCLM,rcp85,BIOECONOMY,w5,0.386862831535071,0.33361966363853,0.0532431678965414,15.9592415254724
MPI_CCLM,rcp85,BIOECONOMY,w6,0.389272423451496,0.342609907940998,0.0466625155104977,13.6197215634913
MPI_CCLM,rcp85,BIOECONOMY,w7,0.389718896523149,0.338834878404083,0.0508840181190662,15.0173495593873
MPI_CCLM,rcp85,BIOECONOMY,w8,0.382712688974151,0.332914280646517,0.049798408327634,14.9583274802528
MPI_CCLM,rcp85,BIOECONOMY,w9,0.395031247688483,0.344947344276024,0.0500839034124591,14.5192894636064
MPI_CCLM,rcp85,CONSERVATION,w5,0.377526038195026,0.342768312834943,0.0347577253600836,10.1402971215781
MPI_CCLM,rcp85,CONSERVATION,w6,0.400054058465993,0.350712183139908,0.0493418753260847,14.0690508337433
MPI_CCLM,rcp85,CONSERVATION,w7,0.399655935313659,0.358269367419116,0.0413865678945424,11.551801984267
MPI_CCLM,rcp85,CONSERVATION,w8,0.371642660619816,0.338832201214724,0.0328104594050928,9.68339469727678
MPI_CCLM,rcp85,CONSERVATION,w9,0.394275465938438,0.353756390378766,0.0405190755596719,11.4539487233823
MPI_CCLM,rcp85,UNMANAGED,w5,0.364572693919601,0.305519662987457,0.0590530309321431,19.3287169652866
MPI_CCLM,rcp85,UNMANAGED,w6,0.374670648708928,0.320753068003792,0.0539175807051362,16.8096851078284
MPI_CCLM,rcp85,UNMANAGED,w7,0.388735307190268,0.315970165293104,0.0727651418971642,23.0291179009464
MPI_CCLM,rcp85,UNMANAGED,w8,0.349253174521091,0.292362997595835,0.0568901769252555,19.4587473083379
MPI_CCLM,rcp85,UNMANAGED,w9,0.39195643929078,0.330357743376878,0.0615986959139013,18.6460578414923
NCC_HIRHAM5,rcp45,ADAPTATION,w5,0.398743352624312,0.341597560008763,0.0571457926155488,16.7289814991895
NCC_HIRHAM5,rcp45,ADAPTATION,w6,0.398909276523519,0.346114890733238,0.0527943857902807,15.2534280390066
NCC_HIRHAM5,rcp45,ADAPTATION,w7,0.407842908295264,0.345481173237712,0.062361735057552,18.0506898460263
NCC_HIRHAM5,rcp45,ADAPTATION,w8,0.397057941874704,0.338632422550302,0.0584255193244018,17.2533742883769
NCC_HIRHAM5,rcp45,ADAPTATION,w9,0.402260033973302,0.349167821807874,0.0530922121654286,15.2053565218396
NCC_HIRHAM5,rcp45,BAU,w5,0.389947046525667,0.33147398649621,0.0584730600294568,17.6403164083965
NCC_HIRHAM5,rcp45,BAU,w6,0.390371139003038,0.343124201434782,0.0472469375682562,13.7696313377757
NCC_HIRHAM5,rcp45,BAU,w7,0.39245956732369,0.339170509548712,0.0532890577749783,15.7115834881643
NCC_HIRHAM5,rcp45,BAU,w8,0.384411032484386,0.328691295490995,0.0557197369933909,16.95199652615
NCC_HIRHAM5,rcp45,BAU,w9,0.405042781869758,0.346013322393335,0.0590294594764226,17.0598805468305
NCC_HIRHAM5,rcp45,BIOECONOMY,w5,0.392321154650465,0.33361966363853,0.0587014910119353,17.5953330723147
NCC_HIRHAM5,rcp45,BIOECONOMY,w6,0.392749117111324,0.342609907940998,0.0501392091703263,14.6344889649137
NCC_HIRHAM5,rcp45,BIOECONOMY,w7,0.396611025507403,0.338834878404083,0.0577761471033199,17.0514167182099
NCC_HIRHAM5,rcp45,BIOECONOMY,w8,0.384500022210451,0.332914280646517,0.0515857415639339,15.4952023877602
NCC_HIRHAM5,rcp45,BIOECONOMY,w9,0.4011388650012,0.344947344276024,0.0561915207251755,16.2898835597967
NCC_HIRHAM5,rcp45,CONSERVATION,w5,0.409696905149266,0.342768312834943,0.0669285923143237,19.5258983424622
NCC_HIRHAM5,rcp45,CONSERVATION,w6,0.399640665243117,0.350712183139908,0.0489284821032086,13.9511783323734
NCC_HIRHAM5,rcp45,CONSERVATION,w7,0.420375387665233,0.358269367419116,0.0621060202461167,17.3350070907577
NCC_HIRHAM5,rcp45,CONSERVATION,w8,0.401401356994944,0.338832201214724,0.0625691557802203,18.4661184963849
NCC_HIRHAM5,rcp45,CONSERVATION,w9,0.399773101170746,0.353756390378766,0.0460167107919799,13.0080224819995
NCC_HIRHAM5,rcp45,UNMANAGED,w5,0.381854043882621,0.305519662987457,0.0763343808951636,24.9850959341682
NCC_HIRHAM5,rcp45,UNMANAGED,w6,0.368647027417762,0.320753068003792,0.0478939594139698,14.9317229331704
NCC_HIRHAM5,rcp45,UNMANAGED,w7,0.394928407462959,0.315970165293104,0.0789582421698548,24.9891448126473
NCC_HIRHAM5,rcp45,UNMANAGED,w8,0.354217736038346,0.292362997595835,0.0618547384425108,21.1568286517637
NCC_HIRHAM5,rcp45,UNMANAGED,w9,0.382846800716619,0.330357743376878,0.0524890573397404,15.8885506370165
NCC_HIRHAM5,rcp85,ADAPTATION,w5,0.364513054960399,0.341597560008763,0.0229154949516354,6.70833098194482
NCC_HIRHAM5,rcp85,ADAPTATION,w6,0.369379670090092,0.346114890733238,0.0232647793568537,6.7216927037053
