"","time","n.risk","n.event","n.censor","surv","std.err","upper","lower","Management","Climate"
"162",24,72,8,0,0.861506798461765,0.0504199895023931,0.934857790830207,0.766305941513081,"UNMANAGED","rcp85"
"163",25,64,26,0,0.637634033065013,0.131201525461739,0.790510302968591,0.468897564270913,"UNMANAGED","rcp85"
"164",26,38,8,0,0.510234880725952,0.182276501661545,0.687833277487712,0.331290607819747,"UNMANAGED","rcp85"
"165",27,30,8,0,0.381083737948729,0.247877278554246,0.57031081069467,0.208930587676285,"UNMANAGED","rcp85"
"166",28,22,5,0,0.299371763227933,0.302859048954163,0.487565463838995,0.141006936598886,"UNMANAGED","rcp85"
"167",29,17,3,0,0.24994635114046,0.34521704058282,0.433628537783374,0.103929340890555,"UNMANAGED","rcp85"
"168",30,14,8,0,0.115849504946142,0.541753683271042,0.263881740923138,0.023872506553558,"UNMANAGED","rcp85"
"169",31,6,5,0,0.0285124965373121,0.987273020514791,0.108349903133032,1.53585625966013e-05,"UNMANAGED","rcp85"
"170",32,1,1,0,0.0104891612925491,1.40524304553924,0.0585427280136763,0,"UNMANAGED","rcp85"
"171",23,25,9,0,0.815388147579782,0.170883433981753,0.99152687648135,0.489335936732714,"ADAPTATION","refclim"
"172",24,16,1,0,0.763914220309446,0.217216741202975,0.984588185307381,0.395876736761263,"ADAPTATION","refclim"
"173",26,15,1,0,0.700119786808703,0.276123842245804,0.972680438585484,0.298339507454042,"ADAPTATION","refclim"
"174",28,14,1,0,0.613795109506159,0.354129526814565,0.946645002254667,0.19923785171069,"ADAPTATION","refclim"
"175",29,13,3,0,0.220015240064175,0.755340187394968,0.595374527155519,0.00901424030616771,"ADAPTATION","refclim"
"176",30,10,2,0,0.0476971441522153,1.60399558764892,0.292983782334014,0,"ADAPTATION","refclim"
"177",32,8,1,0,0.00754236190354252,3.40195157690012,0.135924979605415,0,"ADAPTATION","refclim"
"178",33,7,1,0,0.000981968741684103,5.28396304453786,0.037047850989622,0,"ADAPTATION","refclim"
"179",34,6,3,0,1.6989975082371e-07,13.2617788343132,3.32824091359152e-05,0,"ADAPTATION","refclim"
"180",35,3,2,0,3.60933505305638e-13,25.8596276198417,2.50442999671918e-10,0,"ADAPTATION","refclim"
"181",38,1,1,0,0,46.9753380008158,0,0,"ADAPTATION","refclim"
"182",23,25,9,0,0.454105344872976,0.427248808960496,0.811211292404815,0.122494291181011,"BAU","refclim"
"183",24,16,1,0,0.352870499514061,0.515280117211798,0.716170602514862,0.0676763793028045,"BAU","refclim"
"184",26,15,1,0,0.251840254004141,0.653901514459717,0.611174310902207,0.0235087159836276,"BAU","refclim"
"185",28,14,1,0,0.151381407277947,0.928517703631131,0.498547799199405,0.00023450901604527,"BAU","refclim"
"186",29,13,3,0,0.00286154702946528,4.62017856996044,0.0851248123698016,0,"BAU","refclim"
"187",30,10,2,0,7.73384811292299e-06,10.3751248230794,0.000964197654547916,0,"BAU","refclim"
"188",32,8,1,0,6.16847517509456e-09,18.6978320857881,2.30330161732351e-06,0,"BAU","refclim"
"189",33,7,1,0,2.31958896534934e-12,27.7519368356101,1.8441308480277e-09,0,"BAU","refclim"
"190",34,6,3,0,0,66.3573224432127,0,0,"BAU","refclim"
"191",35,3,2,0,0,126.41177711633,0,0,"BAU","refclim"
"192",38,1,1,0,0,223.153450492931,0,0,"BAU","refclim"
"193",23,25,9,0,0.101931946112299,1.15030032826988,0.419686117348783,0,"BIOECONOMY","refclim"
"194",24,16,1,0,0.049142513355528,1.70857619785058,0.32272895585457,0,"BIOECONOMY","refclim"
