"time","Management","Climate","Model","Windcase","surv","lower","upper"
15,"BIOECONOMY","rcp45","EC-EARTH_RACMO22E-r1","w8",0.986330377769979,0.969116373545034,1
15,"BIOECONOMY","rcp85","EC-EARTH_RACMO22E-r1","w8",0.998340270562775,0.996073385392019,1
15,"BIOECONOMY","rcp45","EC-EARTH_RACMO22E-r1","w9",0.989563726474264,0.976364060938647,1
15,"BIOECONOMY","rcp85","EC-EARTH_RACMO22E-r1","w9",0.996300145487479,0.991346439417094,1
15,"BIOECONOMY","rcp85","HadGEM2_CCLM","w5",0.976861282019448,0.948150489652781,1
15,"BIOECONOMY","rcp45","HadGEM2_CCLM","w6",0.998876151851661,0.997340198681112,1
15,"BIOECONOMY","rcp85","HadGEM2_CCLM","w6",0.992923244898305,0.983789136630389,1
15,"BIOECONOMY","rcp45","HadGEM2_CCLM","w7",0.997504165009723,0.994176238734999,1
15,"BIOECONOMY","rcp85","HadGEM2_CCLM","w7",0.984341168350889,0.964335068684367,1
15,"BIOECONOMY","rcp45","HadGEM2_CCLM","w8",0.998297479115117,0.99600793965704,1
15,"BIOECONOMY","rcp85","HadGEM2_CCLM","w8",0.98929587360275,0.975520850322586,1
15,"BIOECONOMY","rcp45","HadGEM2_CCLM","w9",0.998702043595127,0.996938028262405,1
15,"BIOECONOMY","rcp85","HadGEM2_CCLM","w9",0.991830683553282,0.98130444290417,1
15,"BIOECONOMY","rcp45","MPI_CCLM","w5",0.997105961769166,0.993263315327682,1
15,"BIOECONOMY","rcp85","MPI_CCLM","w6",0.981862042507147,0.958949992373717,1
15,"BIOECONOMY","rcp45","MPI_CCLM","w7",0.998405636912386,0.996240560740624,1
15,"BIOECONOMY","rcp85","MPI_CCLM","w7",0.9899730046753,0.977346659475507,1
15,"BIOECONOMY","rcp45","MPI_CCLM","w8",0.996460267026551,0.99174730670253,1
15,"BIOECONOMY","rcp85","MPI_CCLM","w8",0.977853259017547,0.950184337820676,1
15,"BIOECONOMY","rcp45","MPI_CCLM","w9",0.997584987681972,0.994336681107321,1
15,"BIOECONOMY","rcp85","MPI_CCLM","w9",0.98484499517993,0.965701914149486,1
15,"BIOECONOMY","rcp45","NCC_HIRHAM5","w5",0.998158702981244,0.995659039181914,1
15,"BIOECONOMY","rcp85","NCC_HIRHAM5","w5",0.988427624838512,0.973798858999799,1
15,"BIOECONOMY","rcp45","NCC_HIRHAM5","w6",0.995895855834704,0.990441405065677,1
15,"BIOECONOMY","rcp45","NCC_HIRHAM5","w7",0.974360415152508,0.942644721661741,1
15,"BIOECONOMY","rcp85","NCC_HIRHAM5","w7",0.99975761121874,0.999403068714087,1
15,"BIOECONOMY","rcp45","NCC_HIRHAM5","w8",0.998470123548714,0.996374849381301,1
15,"BIOECONOMY","rcp85","NCC_HIRHAM5","w8",0.999461414342928,0.998697643706576,1
15,"BIOECONOMY","rcp45","NCC_HIRHAM5","w9",0.996603303382575,0.992015280196076,1
15,"BIOECONOMY","rcp85","NCC_HIRHAM5","w9",0.999632721075759,0.999105770805285,1
15,"BIOECONOMY","refclim","refclim","w5",0.997682628284767,0.99452790760236,1
15,"BIOECONOMY","refclim","refclim","w6",0.999720040846459,0.99931300381863,1
15,"BIOECONOMY","refclim","refclim","w7",0.998233168426184,0.995818478032549,1
15,"BIOECONOMY","refclim","refclim","w8",0.999375386808171,0.998491051862813,1
15,"CONSERVATION","rcp45","EC-EARTH_RACMO22E-r1","w5",0.996061654265145,0.990776336036615,1
15,"CONSERVATION","rcp85","EC-EARTH_RACMO22E-r1","w5",0.998702227962413,0.996720008466545,1
15,"CONSERVATION","rcp45","EC-EARTH_RACMO22E-r1","w6",0.9971182224239,0.992809947817156,1
15,"CONSERVATION","rcp85","EC-EARTH_RACMO22E-r1","w6",0.998034089467249,0.995078009766385,1
15,"CONSERVATION","rcp45","EC-EARTH_RACMO22E-r1","w7",0.99850119537491,0.99622054331211,1
15,"CONSERVATION","rcp85","EC-EARTH_RACMO22E-r1","w7",0.996658546367278,0.991710697956282,1
16,"ADAPTATION","rcp45","EC-EARTH_RACMO22E-r1","w5",0.978642970275665,0.957631931842733,1
16,"BIOECONOMY","rcp85","MPI_CCLM","w5",0.902111653322104,0.826961956743276,0.984090535753847
16,"CONSERVATION","rcp85","HadGEM2_CCLM","w6",0.953156362458356,0.910080174233731,0.998271445765522
16,"CONSERVATION","rcp45","MPI_CCLM","w7",0.7953788736168,0.6596173130193,0.95908269857286
16,"CONSERVATION","rcp85","NCC_HIRHAM5","w7",0.967815515828059,0.937149658375046,0.999484836073728
16,"UNMANAGED","rcp85","EC-EARTH_RACMO22E-r1","w5",0.855468552722021,0.751248129140294,0.974147443846269
16,"UNMANAGED","rcp45","HadGEM2_CCLM","w6",0.975373240781339,0.951410385777713,0.999939640194936
16,"UNMANAGED","rcp85","MPI_CCLM","w6",0.887819433256221,0.803521029404666,0.980961688894933
16,"UNMANAGED","rcp45","NCC_HIRHAM5","w7",0.945877794946233,0.895978452353501,0.998556160164616
16,"ADAPTATION","rcp85","EC-EARTH_RACMO22E-r1","w5",0.766810270528505,0.614650803287884,0.956637472598565
16,"ADAPTATION","rcp45","HadGEM2_CCLM","w6",0.983261975075354,0.966387811458272,1
16,"ADAPTATION","rcp85","MPI_CCLM","w6",0.922610922307,0.85790727600856,0.992194538692407
16,"ADAPTATION","rcp45","NCC_HIRHAM5","w7",0.963182791208576,0.928089389930074,0.99960316252537
16,"BAU","rcp45","EC-EARTH_RACMO22E-r1","w5",0.836103640346659,0.713906285875133,0.979217176304857
16,"BAU","rcp85","HadGEM2_CCLM","w5",0.97474585963228,0.950071173487716,1
16,"BAU","rcp45","MPI_CCLM","w6",0.885097691074217,0.794120379070737,0.986497694041834
16,"BAU","rcp85","NCC_HIRHAM5","w6",0.980692411478307,0.961539493035157,1
16,"BAU","refclim","refclim","w9",0.911162207682707,0.838749575580124,0.989826514231024
16,"BIOECONOMY","rcp45","HadGEM2_CCLM","w5",0.957427102722077,0.917397171736188,0.999203709438067
16,"BIOECONOMY","rcp45","MPI_CCLM","w6",0.812529150911629,0.677213917530716,0.974881944967158
16,"BIOECONOMY","rcp85","NCC_HIRHAM5","w6",0.976332328520369,0.954161086584166,0.999018749681448
16,"BIOECONOMY","refclim","refclim","w9",0.891992987438201,0.81067957334336,0.981462362937732
16,"CONSERVATION","rcp45","EC-EARTH_RACMO22E-r1","w8",0.948162321842149,0.90228930379886,0.996367556144171
16,"CONSERVATION","rcp85","EC-EARTH_RACMO22E-r1","w8",0.775688284600716,0.628660351257117,0.957102374380079
16,"CONSERVATION","rcp45","EC-EARTH_RACMO22E-r1","w9",0.964354949807862,0.931742986352097,0.998108365548235
16,"CONSERVATION","rcp85","EC-EARTH_RACMO22E-r1","w9",0.840970211260198,0.727547239335272,0.972075568416956
16,"CONSERVATION","rcp45","HadGEM2_CCLM","w5",0.97271380229277,0.947358110345342,0.998748130024398
16,"CONSERVATION","rcp85","HadGEM2_CCLM","w5",0.876327344264324,0.784886907470965,0.978420721502189
16,"CONSERVATION","rcp45","HadGEM2_CCLM","w6",0.940132452548601,0.887764766031543,0.995589217046764
16,"CONSERVATION","rcp45","HadGEM2_CCLM","w7",0.744837651798809,0.58371953023925,0.950427557751537
16,"CONSERVATION","rcp85","HadGEM2_CCLM","w7",0.996367648686679,0.992727281057172,1
16,"CONSERVATION","rcp45","HadGEM2_CCLM","w8",0.982785234487396,0.965962031979904,0.999901430024882
16,"CONSERVATION","rcp85","HadGEM2_CCLM","w8",0.991945667927032,0.98437978780006,0.999569698925044
16,"CONSERVATION","rcp45","HadGEM2_CCLM","w9",0.962145263988972,0.92736589913406,0.998228972923002
16,"CONSERVATION","rcp85","HadGEM2_CCLM","w9",0.994500900762119,0.989193816590896,0.999836457758311
16,"CONSERVATION","rcp45","MPI_CCLM","w5",0.974029781129367,0.94949362010683,0.999199988747875
16,"CONSERVATION","rcp85","MPI_CCLM","w5",0.995805736166078,0.991674901941469,0.999953777432387
16,"CONSERVATION","rcp45","MPI_CCLM","w6",0.980143225183239,0.961063535459324,0.999601697939212
16,"CONSERVATION","rcp85","MPI_CCLM","w6",0.990664783000444,0.981945386772346,0.999461604991326
16,"CONSERVATION","rcp85","MPI_CCLM","w7",0.956231094476201,0.916299757460932,0.99790259530014
16,"CONSERVATION","rcp45","MPI_CCLM","w8",0.980093017283021,0.957629375624522,1
16,"CONSERVATION","rcp85","MPI_CCLM","w8",0.956297751326185,0.90819134698847,1
16,"CONSERVATION","rcp45","MPI_CCLM","w9",0.969989351631794,0.936995633370165,1
16,"CONSERVATION","rcp85","MPI_CCLM","w9",0.977042673065722,0.951259038683508,1
16,"CONSERVATION","rcp45","NCC_HIRHAM5","w5",0.949494239956372,0.894691652548539,1
16,"CONSERVATION","rcp85","NCC_HIRHAM5","w5",0.994340946176801,0.988621563407114,1
16,"CONSERVATION","rcp45","NCC_HIRHAM5","w6",0.978309028637771,0.958484945805837,0.998543127570476
16,"CONSERVATION","rcp85","NCC_HIRHAM5","w6",0.987467248854781,0.975469392031363,0.999612674191913
16,"CONSERVATION","rcp45","NCC_HIRHAM5","w7",0.952433715009633,0.911748074839006,0.994934901998262
16,"CONSERVATION","rcp45","NCC_HIRHAM5","w8",0.991437114759243,0.983027678237059,0.999918490886167
16,"CONSERVATION","rcp85","NCC_HIRHAM5","w8",0.967315122739617,0.938289740322623,0.997238386470076
16,"CONSERVATION","rcp45","NCC_HIRHAM5","w9",0.993466539101277,0.986953469416332,1
16,"CONSERVATION","rcp85","NCC_HIRHAM5","w9",0.974988829647728,0.952344515994948,0.998171567087481
16,"CONSERVATION","refclim","refclim","w5",0.985479389019704,0.971538724556011,0.999620088871361
16,"CONSERVATION","refclim","refclim","w6",0.94504613439842,0.898226205487965,0.994306546262709
16,"CONSERVATION","refclim","refclim","w7",0.995572520686305,0.991164334347798,1
16,"CONSERVATION","refclim","refclim","w8",0.982999628225364,0.967812705793505,0.998424863929585
16,"CONSERVATION","refclim","refclim","w9",0.990187339212867,0.980889926710756,0.999572877688016
